Device,Manufacturer,Device Type,MIDI Role,Message Type,CC# (MSB),CC LSB,NRPN MSB,NRPN LSB,Parameter / Function,Value Range / Units,Notes,MIDI Channel / Mode,Tx/Rx,Source,Source detail
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,94,,,,Mute,0-127 (unless noted),Appendix B: MIDI - TRACK,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,101,Mute,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - TRACK,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,95,,,,Track level,0-127 (unless noted),Appendix B: MIDI - TRACK,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,100,Track level,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - TRACK,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,3,,,,Note,0-127 (unless noted),Appendix B: MIDI - TRIG PARAMETERS,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,3,0,Note,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - TRIG PARAMETERS,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,4,,,,Velocity,0-127 (unless noted),Appendix B: MIDI - TRIG PARAMETERS,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,3,1,Velocity,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - TRIG PARAMETERS,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,5,,,,Length,0-127 (unless noted),Appendix B: MIDI - TRIG PARAMETERS,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,3,2,Length,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - TRIG PARAMETERS,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,13,,,,Filter Trig,0-127 (unless noted),Appendix B: MIDI - TRIG PARAMETERS,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,14,,,,LFO Trig,0-127 (unless noted),Appendix B: MIDI - TRIG PARAMETERS,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,16,,,,Tune,0-127 (unless noted),Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,0,Tune,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,17,,,,Play Mode,0-127 (unless noted),Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,1,Play Mode,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,18,,,,Bit Reduction,0-127 (unless noted),Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,2,Bit Reduction,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,19,,,,Sample Select,0-127 (unless noted),Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,3,Sample Select,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,20,,,,Data entry knob E (machine dependent),0-127 (unless noted),Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,4,Data entry knob E (machine dependent),14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,21,,,,Data entry knob F (machine dependent),0-127 (unless noted),Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,5,Data entry knob F (machine dependent),14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,22,,,,Data entry knob G (machine dependent),0-127 (unless noted),Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
